user name,post date,post stars,user comment,images
Александр Э.,4 Мая 2022,100%,n/a,n/a
Диана П.,3 Мая 2022,100%,n/a,n/a
Светлана Т.,2 Мая 2022,100%,[' все нормально  '],n/a
Анжелика Т.,1 Мая 2022,100%,n/a,n/a
Ксения С.,29 Апреля 2022,80%,n/a,n/a
Анна,28 Апреля 2022,100%,n/a,n/a
No Name,28 Апреля 2022,100%,n/a,n/a
Мария Г.,27 Апреля 2022,100%,n/a,n/a
Ангелина М.,27 Апреля 2022,100%,n/a,n/a
Виктория М.,27 Апреля 2022,60%,['        Недостатки       торчат нитки  '],n/a
ксения С.,27 Апреля 2022,100%,n/a,n/a
Рита Г.,26 Апреля 2022,100%,n/a,n/a
Валентина И.,26 Апреля 2022,80%,n/a,n/a
Andrey K.,25 Апреля 2022,100%,"['        Достоинства       Хороший товар ', '        Комментарий       Хороший товар, девушке очень понравилось и довольна, маленькая компактная сумка  ']",n/a
Елена Б.,25 Апреля 2022,100%,n/a,n/a
Дауда Амаду Д.,24 Апреля 2022,100%,n/a,n/a
Екатерина З.,24 Апреля 2022,100%,n/a,n/a
Ольга К.,24 Апреля 2022,100%,"['        Достоинства       хорошо прошита ', '        Недостатки       не нашла ', '        Комментарий       покупкой довольна ']",n/a
Надежда Ш.,24 Апреля 2022,100%,n/a,n/a
Марина М.,23 Апреля 2022,100%,n/a,n/a
Вета Н.,22 Апреля 2022,100%,n/a,n/a
елена з.,20 Апреля 2022,100%,n/a,n/a
Ёкубджон Т.,19 Апреля 2022,20%,"['        Достоинства       нет ', '        Недостатки       сумка очень маленькая. Не прочная! ']",n/a
Путилина Т.,14 Апреля 2022,100%,n/a,n/a
Екатерина К.,13 Апреля 2022,100%,n/a,n/a
No Name,13 Апреля 2022,100%,n/a,n/a
Людмила К.,12 Апреля 2022,100%,n/a,n/a
Валерия С.,11 Апреля 2022,100%,n/a,n/a
Анна Б.,9 Апреля 2022,100%,['        Недостатки       нет  '],n/a
Наталья Г.,4 Марта 2022,100%,n/a,n/a
Дарья Б.,3 Марта 2022,100%,n/a,n/a
Маша З.,25 Февраля 2022,80%,n/a,n/a
Нигора К.,12 Февраля 2022,60%,"['        Достоинства       Не то чего ожидала но за такую стоимость норм ', '        Недостатки       ремешок не удобный ']",n/a
Юлия Л.,1 Февраля 2022,100%,n/a,n/a
Татьяна С.,29 Января 2022,40%,"['        Недостатки       Криво сшита ,возврат ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FTJWPXMW81Q1F1PA2VDP4P7D.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/7ab37728-c03e-4e3d-818b-74eb0575dfc7.jpeg']"
Нина Н.,23 Января 2022,100%,n/a,n/a
НаталиЯ Ф.,11 Января 2022,100%,n/a,n/a
Бурулай Ж.,3 Января 2022,100%,['        Достоинства       качество хорошее получила довольно быстро за отличную цену со скидкой '],n/a
Алия Г.,22 Декабря 2021,80%,n/a,n/a
Галина А.,19 Декабря 2021,100%,n/a,n/a
Евгения Г.,19 Декабря 2021,100%,n/a,n/a
Ольга Б.,13 Декабря 2021,100%,"['        Недостатки       Меньше чем я думала  ', '        Комментарий       В среднем очень красивая, как на картинке, только маленькая, аккуратная.. Паспорт и ключи поместятся 🤭🙊 ']",n/a
Надежда В.,27 Января 2022,60%,"['        Недостатки       Не соответствует описаным размерам, сумочка 21 см, а написано 26, обычно, кошелек не влазит ']",n/a
Виктория З.,9 Декабря 2021,100%,"['        Достоинства       Очень вместилельная, в рюкзак столько не поместится, сколько в эту сумочку))) ', '        Недостатки       Цепочка тоненькая ', '        Комментарий       Хороша, красивая, ничего не торчит.  ']",n/a
No Name,25 Января 2022,40%,"['        Недостатки       Маленькая ', '        Комментарий       Очень долго шло ']",n/a
Татьяна Ш.,4 Декабря 2021,100%,"['        Достоинства       Маленькая, но очень удобная  ', '        Недостатки       Нет ']",n/a
Олеся Л.,30 Ноября 2021,100%,n/a,n/a
Гульназ М.,26 Ноября 2021,100%,n/a,n/a
Елена С.,24 Ноября 2021,100%,"['        Достоинства       детская  ', '        Недостатки       нет  ', '        Комментарий       рекомендую, цепочко хлибкая  ']",n/a
Анна У.,23 Ноября 2021,100%,n/a,n/a
Дмитрий А.,22 Ноября 2021,100%,n/a,n/a
Светлана М.,22 Ноября 2021,100%,n/a,n/a
No Name,20 Ноября 2021,100%,"['        Недостатки       Нет ', '        Комментарий       Хорошая  ']",n/a
Светлана Ф.,20 Ноября 2021,100%,"['        Достоинства       Симпатичная и вместительная ', '        Недостатки       Цепочка тонковата ', '        Комментарий       Рекомендую  ']",n/a
Диана С.,13 Января 2022,60%,['        Недостатки       цепочка тонковата '],n/a
Ряскина Наталья,16 Ноября 2021,80%,"['        Достоинства       Нет ', '        Недостатки       Цепочка порвалась сразу ']",n/a
Светлана Т.,11 Января 2022,100%,"[' в целом, сумочка не плохая за свои деньги, легкая. тортат нитки по бокам. ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/958acc77-5916-424c-8fac-f187e457fcce.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/3c4d46f7-c49a-4549-940b-7c5fec641678.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/1885a982-40cd-426e-be52-f1e0d9d64670.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/220db1df-d2a6-4134-beb6-717467998017.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/dfaec7a7-46c0-475e-a632-adf1e488de58.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/da742327-07b6-46ef-bb4d-4446a787e7d0.jpeg']"
Наталья Д.,25 Октября 2021,100%,"['        Недостатки       нет ', '        Комментарий       покупкой довольна ']",n/a
Максим Ш.,24 Октября 2021,100%,"['        Достоинства       Компактная, Цена ', '        Недостатки       Нет ', '        Комментарий       Смотрится симпатично) Без постороннего запаха, аккуратно сшита, помещается все необходимое. Рекомендую!  ']",n/a
Татьяна С.,23 Октября 2021,100%,"['        Достоинства       Не дорого ', '        Недостатки       Классная сумочка, смотрится элегантно, вместительная хоть и не большая, удобно для прогулок, качественно сшито ']",n/a
Наталья П.,20 Ноября 2021,100%,n/a,n/a
Ksenia P.,20 Ноября 2021,100%,n/a,n/a
