user name,post date,post stars,user comment,images
Виктория М.,5 Мая 2022,100%,"['        Достоинства       вместительная хоть и маленькая ', '        Недостатки       нету ', '        Комментарий       хороший дизайн,небольшая вместительная сумочка ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/0df168c5-68ae-4aa5-a916-c67d0357f606.jpeg']
Наталия В.,5 Мая 2022,100%,"['        Достоинства       выглядит прикольно, вместительная ', '        Недостатки       не под высокий рост, для очень хрупкой девушки.  ']",n/a
Наталия В.,5 Мая 2022,100%,"['        Достоинства       хорошая, удобная ', '        Недостатки       немного короткая ручка, не под высокий рост ']",n/a
Анна К.,5 Мая 2022,100%,n/a,['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/92a49228-1eac-46ca-98fb-a2c9246e7080.jpeg']
Екатерина Б.,4 Мая 2022,80%,"['        Достоинства       Стильный дизайн, хорошая вместимость, удобно располагается на плече (нет дискомфорта и болезненных ощущений) ', '        Недостатки       Качество исполнения: если всматриваться, то можно увидеть, что швы не такие плотные как хотелось бы; не очень удобный замочек (к нему нужно привыкнуть) ', '        Комментарий       Сумка на 4 звёзды, за свою цену хорошая. Мой запрос она удовлетворила. ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/9c0a0e56-f0ef-4e3c-8062-0065cff83a43.jpeg']
No Name,4 Мая 2022,100%,"['        Достоинства       дешевле чем в магазине ', '        Комментарий       именно такой искала, удобный,качество хорошее ']",n/a
No Name,4 Мая 2022,100%,"['        Недостатки       не обнаружено ', '        Комментарий       На работе все оценили. Поместился телефон,паспорт,ключи,помада,блокнот.К покупке рекомендую, качество хорошее ']",n/a
No Name,4 Мая 2022,100%,"[' клатч отличный,берите не пожалеете. ']",n/a
No Name,4 Мая 2022,100%,[' 🔥👍🏿👍🏿👍🏿крутой  '],n/a
No Name,4 Мая 2022,100%,[' Понравился клатч . '],n/a
No Name,4 Мая 2022,100%,"[' Купила для себя, но муж сразу забрал ) универсальный шопер, пришлось у вас черный такой же заказать) видела такой же в магазине в два раза дороже. ozon и продавцу спасибо! ']",n/a
No Name,4 Мая 2022,100%,n/a,n/a
No Name,4 Мая 2022,100%,"[' Купили дочке на выпускной, очень довольна сумочкой.рекомендую ']",n/a
No Name,4 Мая 2022,100%,n/a,n/a
No Name,4 Мая 2022,100%,"[' Необычные клатч,смотрится дорого ']",n/a
No Name,4 Мая 2022,100%,[' классная сумочка.быстро пришла. '],n/a
No Name,3 Мая 2022,100%,n/a,n/a
