user name,post date,post stars,user comment,images
Яськова Наталья Александровна,5 Мая 2022,100%,"['        Достоинства       удобная, вместительная, есть кармашек внутри сумки для телефона ', '        Недостатки       нет ', '        Комментарий       Отличный шоппер, чутьдлинноваты ручки, не принципиально. Рекомендую!!!  ']",n/a
Ольга О.,5 Мая 2022,100%,"[' Прикольная, прочная, по магазинам самое то! ']",n/a
Елена,4 Мая 2022,100%,"['        Достоинства       супер, смотрится не огромная,а входит всё  ', '        Недостатки       внутренних кормашков хотелось бы больше ', '        Комментарий       качество отличное ']",n/a
No Name,4 Мая 2022,100%,"['        Достоинства       Качеством довольна. Думала будет цвет серо-голубой, а он ближе к мышиному. ']",n/a
No Name,4 Мая 2022,100%,"['        Достоинства       сумка вместительная, на кнопке-магните, прошита качественно. в любой момент можно простирнуть. ', '        Недостатки       не нашла ']",n/a
Наталья Г.,2 Мая 2022,100%,[' шоппер просто супер; заказала еще светлую на лето '],n/a
Ирина С.,2 Мая 2022,100%,"['        Достоинства       большая, вместительная, с длинной и прочной ручкой. внутри карман на молнии.  прошито аккуратно, подклад. все устроило. особенно порадовала цена ', '        Недостатки       нет ', '        Комментарий       рекомендую ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/b9c1c776-3138-463c-8658-eed4105688d1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/134db403-08e7-4665-956b-5b8cfbc474f0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/f3be86a5-88fb-4637-9d83-a73514c7ced5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/13895262-49fd-454f-ac65-badef52b725d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/48f30767-78b2-40ce-a5a5-b48d741a1d0a.jpeg']"
Любовь Р.,2 Мая 2022,80%,"['        Достоинства       Вместимость и качество ', '        Недостатки       Нет  ', '        Комментарий       Отличная сумка,стильная,прекрасная замена пакету. Влезет всё необходимое. Достаточно глубокий внутренний карман на молнии. Покупкой довольна. Рекомендую. Спасибо продавцу! ']",n/a
No Name,2 Мая 2022,100%,"['        Достоинства       Очень понравилась сумка. Отлично была упакована. несмотря, на название ,,шоппер,, очень аккуратная и  небольшого размера. Внутри карман на замке. Застежка магнит работает отлично. Буду заказывать  другой расцветки. ', '        Недостатки       нет ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/e51adb66-5206-40b2-a8de-f33fb629269c.jpeg']
No Name,2 Мая 2022,100%,"['        Достоинства       Быстрая и качественная доставка.  ', '        Недостатки       Нет.  ', '        Комментарий       Сумка просто супер. Вместительная, швы все прострочены. Внутри карман на молнии. Я очень довольна. Спасибо продавцу!!!  ']",n/a
Оксана Х.,30 Апреля 2022,100%,"['        Достоинства       Сумка отличная, фото соответствует, достаточно вместительная  ', '        Недостатки       Нет ', '        Комментарий       Рекомендую, как для походов в магазин,  так и в качестве спортивной сумки для одежды  ']",n/a
Светлана М.,27 Апреля 2022,100%,"['        Достоинства       Удобная и красивая сумочка, выглядит стильно, прошита качественно, внутри на кнопке, удобно на плече ', '        Недостатки       Нет  ', '        Комментарий       Немного узкие ручки ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/1dd5ebbe-2986-469b-ade6-0c9f3ffaa2b5.jpeg']
Наталья Ф.,27 Апреля 2022,100%,"['        Достоинства       это любовь с первого взгляда👍👍👍 ', '        Комментарий       классная, лёгкая, прочная ,вместимая. заужена  к верху, что мне особенно нравится. Ромб двойная строчка. ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/3c938a52-1cfa-4a0d-8adc-e2ece637ecda.jpeg']
No Name,27 Апреля 2022,100%,"['        Достоинства       очень удобная , сшито очень аккуратно  ', '        Недостатки       нет ', '        Комментарий       легкая, вместительная и стильная. ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/dad94bbe-5753-403a-a328-9433d9e572e4.jpeg']
Лидия А.,27 Апреля 2022,100%,"['        Достоинства       Брала по Flash sale. Легкая - почти невесомая. ', '        Недостатки       Не помешал бы ещё один кармашек внутри ', '        Комментарий       За свою цену отличный товар. Ровно прострочена, нитки нигде не торчат. Удобно, что можно постирать в отличии от кожаных сумок. ']",n/a
Елена З.,24 Апреля 2022,100%,"['        Достоинства       классная стильная сумка  ', '        Комментарий       очень удобная и модная. Ткань приятная на ощупь.Легко носить на плече. не пачкается.вместительная. ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/26932e67-2e6d-4086-889b-4fb78b37c6ed.jpeg']
Галина У.,24 Апреля 2022,100%,"['        Достоинства       Очень лёгкая  ', '        Комментарий       Рекомендую  ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/fd6aeaed-3890-4e00-b387-831453c1df92.jpeg']
Васильева Наталья,23 Апреля 2022,100%,"['        Достоинства       Хорошиая, вместительная сумка. Смотрится хорошо.  ', '        Недостатки       Нет ', '        Комментарий       Упакована была в обычный пакет. Единственный минус.  ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/8b61eb4f-1373-4dfd-9590-0ae50486b119.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/7d3d798b-b633-4af8-9827-47ab6304c458.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/af6aaf0a-7a51-46fb-97cb-4b8ce0fa21b4.jpeg']"
Елена К.,23 Апреля 2022,100%,"['        Достоинства       хорошая. удобная ', '        Недостатки       нет ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1B84A2JTJJ0GWZW16Q2XNXY.jpg']
Юлия Л.,23 Апреля 2022,100%,"['        Достоинства       Подойдёт и под спорт и на повседневку, вместительная ', '        Недостатки       Нет ', '        Комментарий       Отлично упаковано, аккуратно сшита, придраться не к чему. Поместились и кроссовки, одежда, вода, забросила кошелёк и всякую женскую мелочь. Вместительная одним словом, хотя на первый взгляд были сомнения. Это будет моя любимая сумка. Буду рассматривать и другие цвета, в том числе на подарок) Советую к покупке) ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/687ac700-083a-40b6-8c5f-9a614295fe41.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/383a61dc-d7f4-4f7f-9bab-38fac7dd033c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/69db3c39-5218-4303-bd8a-8783ae6ce2d0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/44c90d93-efaa-4ad7-9115-a31166b73c5f.jpeg']"
Ольга Н.,22 Апреля 2022,100%,"['        Достоинства       Это моя любимая покупка на ozon)Очень удобная и прочная сумка.Хорошо смотрится с любой одеждой. ', '        Недостатки       Их нет. ', '        Комментарий       Сумка реально прочная,несколько раз несла в ней тяжёлые вещи,ручки выдержали) ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/39adccd7-dfb2-4c9e-99c8-186fd39c6da5.jpeg']
Фахрия К.,18 Апреля 2022,100%,"['        Достоинства       Отличный  ', '        Недостатки       Нет ', '        Комментарий       Хороший товар 👍 и качественный  ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/5def5ff6-0e50-4e0e-b712-bf63eb1db6d1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/b7d88a02-b474-41e4-a9cb-6c3b42ee77b7.jpeg']"
