user name,post date,post stars,user comment,images
Ирина П.,4 Мая 2022,100%,"['        Достоинства       Сумка, удобная, вместительная, смотриться хорошо. ']",n/a
Элла Р.,4 Мая 2022,100%,"['        Достоинства       Сумка очень понравилась, вместительная ', '        Недостатки       Нет ']",n/a
No Name,3 Мая 2022,100%,n/a,n/a
Ксения К.,30 Апреля 2022,100%,"['        Достоинства       хорошая кожа, при минусовых температурах не коченеет, удобна в использовании   ', '        Комментарий       рекомендую к покупке ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0221ab5a-9149-449e-9abe-ff27fb036e9b.jpeg']
Елена И.,30 Апреля 2022,100%,"['        Достоинства       Мягкая, удобная, очень вместительная.  ', '        Недостатки       Нет  ']",n/a
Нурилла С.,30 Апреля 2022,100%,"['        Достоинства       товар соответствует описанию ', '        Недостатки       нет ', '        Комментарий       рекомендую ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/04768bc9-c193-4735-990e-998e411f568c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/d00e5178-f192-4816-9bbb-76cb5448979b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/3ba5b0f4-19d7-4281-bc2e-29c4dda3cb9e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/9d7fe4cf-4d97-404e-b5cc-8b054d57d5f1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/b7fbd547-5243-4f29-8687-2338fd6c6557.jpeg']"
Наталья С.,29 Апреля 2022,100%,"['        Достоинства       сумка очень хорошего качества. удобная,много отделений. есть короткий и длинный ремешок. ']",n/a
Елена Г.,28 Апреля 2022,100%,"[' Сумка очень хорошая, мягкая, много отделений.  ']",n/a
Ксения Т.,28 Апреля 2022,100%,"['        Достоинства       Среднего размера, много карманов. даже зонтик помещается))) ', '        Недостатки       нет ', '        Комментарий       Очень классная!!! ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1QX7Y8S78N8HRMPX8Z8KCMR.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/afdd7fd2-c346-4013-9455-db3293d05739.jpeg']"
Наталья К.,28 Апреля 2022,100%,"['        Достоинства       Все супер!Много отделов и красивая! ', '        Недостатки       Нет ', '        Комментарий       Покупайте,не пожалеете!Соответствует качеству! ']",n/a
No Name,28 Апреля 2022,100%,"['        Достоинства       удобная, много отделений, компактная ', '        Комментарий       сумка понравилась, два ремешка, есть корткий, есть длинный, регулируется длина.. форма удобная, сумка компактная, но отделений много.  ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/2220145f-63b5-4fb0-9f91-4cde02e95795.jpeg']
Елена Г.,27 Апреля 2022,100%,"['        Достоинства       отличная ', '        Недостатки       нет ', '        Комментарий       сумка очень красивая и удобная, так еще и надежнаяхорошо прошита  ']",n/a
