user name,post date,post stars,user comment,images
Анастасия Г.,6 Мая 2022,100%,"['        Достоинства       недорогая цена, хорошее качество  ', '        Недостатки       нет ', '        Комментарий       сумочка мне очень понравилась, за свою цену просто подарок, красивая и удобная, рекомендую! ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G2B3V6ZV21KQZBXE607DHT3D.jpg']
оксана ш.,5 Мая 2022,100%,"['        Достоинства       Стильная  ', '        Недостатки       Нет ', '        Комментарий       Очень красиво смотреться. Летом очень красиво будет смотреться. ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G2AR3TPBHAGAV310B0FGD1YF.jpg']
Лейсан М.,5 Мая 2022,100%,"[' роскошная сумка ,очень довольна что заказала ']",n/a
No Name,5 Мая 2022,100%,"['        Достоинства       компактная, удобная, не смотря на маленький размер  ', '        Недостатки       нет ', '        Комментарий       в подарок приятный бонус в ввиде резинки для волос ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/52e6615f-f573-4238-8748-df6e21921561.jpeg']
Мария М.,5 Мая 2022,100%,"['        Достоинства       Вместительная ', '        Недостатки       Замки не крепкие, слабые ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G29ESTFY567ZSN0MXVKZHKN7.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/1d63d329-5f11-4a09-9fe2-4f3e9909cd35.jpeg']"
No Name,3 Мая 2022,100%,"['        Достоинства       Качество и цена  ', '        Комментарий       Очень удобная сумочка  ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/67726bff-3200-4c56-aadf-d04bb988a04a.jpeg']
Анна Б.,2 Мая 2022,60%,"['        Достоинства       вместительная ', '        Недостатки       нет внутренних карманов  ', '        Комментарий       долго не прослужит, материал из которого сделана сумка жёсткий и начал трескаться после 2 недель носки ']",['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/0e6ec46f-2013-4b03-b04e-ace435461f53.jpeg']
Юлия С.,30 Апреля 2022,100%,"['        Достоинства       сумка за свои деньги 👍🏻 ', '        Недостатки       нет внутренних карманов(( ', '        Комментарий       цвет немножко темнее, чем на фото ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1WY25S68RPC1ATYJ69Y4VFT.jpg']
No Name,29 Апреля 2022,100%,"['        Достоинства       Вместительность, хорошее качество, удобная в использовании.  ', '        Недостатки       Недостатков нет.  ', '        Комментарий       Идеальная сумка, которую я очень давно искала. На вид очень маленькая, но достаточно вместительная. Подойдёт к любому образу. Любовь с первого взгляда 😍 ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/b65a38c6-fce1-41e9-a035-07502e08e1ea.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/6e999eb8-e2c1-4272-8409-27c8deab04e6.jpeg']"
Оксана К.,28 Апреля 2022,100%,"['        Достоинства       Очень даже симпатичная) ', '        Недостатки       немного не аккуратно сшита,но не критично ', '        Комментарий       Понравилась.Размер хороший,цвет супер. ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/8c274b76-71bd-465f-9595-7a6a1fd482bc.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/0b22052c-419d-4e71-9896-a7bab967f028.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/5752881f-ea05-43ec-9bae-851a03f8a870.jpeg']"
